Conference,"City, Country",Deadline,Date,Notification,Submission format and comments
WISE,"Doha, Qatar",20/30 June 2024,2-5 December 2024,30 August 2024,"LNCS,double-blind, 15 pages",https://wise2024-qatar.com/,Web Information Systems Engineering
TIME,"Montpellier, France",21 June 2024,28-30 October 2024,2 August 2024,"LIPIcs,
	      12 pages excluding references + 5 pages appendix",https://www.lirmm.fr/time2024/,Temporal Representation and Reasoning
LPNMR,"Dallas, Texas, USA",21/28 June 2024,11-14 October 2024,28 July 2024,"LNCS, 13 pages long, 6 pages short",https://lpnmr2024.demacs.unical.it/,Logic Programming and Non-Monotonic Reasoning
IPEC,"Egham, United Kingdom",26/30 June 2024,4-6 September 2024,5 August 2024,"LIPIcs,
	      no page limit, but only first 12 pages read;
	      part ofALGO",https://algo-conference.org/2024/ipec/,International Symposium on Parameterized and Exact Computation
ISAAC,"Sydney, Australia",28 June 2024,8-12 December 2024,2 September 2024,"LIPIcs,double-blind, 12 pages excluding references",https://sites.google.com/view/isaac2024/,International Symposium on Algorithms and Computation
FedCSIS,"Belgrade, Serbia",28 May 2024,8-11 September 2024,18 June 2024,"own format,
	      12 pages full, 6 pages short, 8 pages communication",https://2024.fedcsis.org/,Federated Conference on Computer Science and Information Systems
ATMOS,"Egham, United Kingdom",30 June 2024,5-6 September 2024,31 July 2024,"OASIcs,
	      12 pages excluding references regular, 6 pages short;
	      part ofALGO",https://algo-conference.org/2024/atmos/,"Algorithmic Approaches for Transportation Modelling, Optimization, and Systems"
ALGOCLOUD,"Egham, United Kingdom",1 July 2024,2-3 September 2024,31 July 2024,"LNCS, 12 pages excluding references regular, 8 pages short, 10 pages survey;
	      part ofALGO",https://algo-conference.org/2024/algocloud/,Algorithms for Cloud-Based Systems
ICTAI,"Herndon, Virginia, USA",1 July 2024,28-30 October 2024,18 August 2024,"IEEE Transactions,double-blind, 8 pages",https://ictai.computer.org/2024/,International Conference on Tools with Artificial Intelligence
WAOA,"Egham, United Kingdom",3 July 2024,5-6 September 2024,31 July 2024,"LNCS,double-blind, 10 pages excluding references;
	      part ofALGO",https://algo-conference.org/2024/waoa/,Workshop on Approximation and Online Algorithms
FSTTCS,"Gandhinagar, Gujarat, India",5 July 2024,16-18 December 2024,16 September 2024,"LIPIcs,
	      15 pages excluding references",https://www.fsttcs.org.in/2024/,Foundations of Software Technology and Theoretical Computer Science
SODA ,"New Orleans, Lousiana, USA",5 July 2024,12-15 January 2025,6 September 2024early October 2024,"double-blind, no page limit, but only first 10 pages read",https://www.siam.org/conferences/cm/conference/soda25,Symposium on Discrete Algorithms
CSCML,,6 or 7 July 2024,19-20 December 2024,13 August 2024,"LNCS, 12-15+ pages regular, 6-11 pages short",https://www.cscml.org/,"Cyber Security, Cryptology and Machine Learning"
NMR,"Hanoi, Vietnam",7/12 July 2024,2-4 November 2024,1 September 2024,"CEUR,
	      10 pages including references full, 3 pages excluding referencesextended abstracts;
	      co-located withKR",https://nmr.krportal.org/2024/,Non-Monotonic Reasoning
ICLP,"Dallas, Texas, USA",8 July 2024,11-17 October 2024,22 July 2024,"EPTCS,
	      7 pages short, 3 pages recently published, 3 pages system demonstrations, 3 pages birds of a feather",https://www.iclp24.utdallas.edu/,International Conference on Logic Programming
POPL,"Denver, Colorado, USA",11 July 2024,19-25 January 2025,,"ACMart,double-blind,
	      25 pages excluding references",https://conf.researchr.org/home/POPL-2025,Principles of Programming Languages
VSTTE,"Prague, Czech Republic",18 July 2024,14-15 October 2024,29 August 2024,"LNCS, 16 pages long, 10 pages short, both excluding references;
	      co-located withFMCAD",https://www.soundandcomplete.org/vstte2024.html,"Verified Software: Theories, Tools, and Experiments"
CSL,"Amsterdam, The Netherlands",18/23 July 2024,10-14 February 2025,27 October 2024,"LIPIcs,double-blind, 15 pages excluding references",https://csl2025.github.io/,Computer Science Logic
ICDCN,"Hyderabad, India",25 July 2024,4-7 January 2025,27 September 2024,"ACMart, 10 pages regular, 5 pages short",https://cse.iith.ac.in/icdcn-2025/,International Conference on Distributed Computing and Networking
TERMGRAPH,post-proceedings,1 August 2024,7 April 2024,15 September 2024,"EPTCS, 16 pages post-proceedings",http://termgraph.org.uk/2024/,Computing with Terms and Graphs
KDD,???,1/8 August 2024,,,,https://kdd2024.kdd.org/,Knowledge Discovery and Data Mining
WADT,post-proceedings,16 September 2024,,25 November 2024,dates for post-proceedings,https://conf.researchr.org/home/wadt-2024,Workshop on Algebraic Development Techniques
WALCOM,"Chengdu, China",22 September 2024,28 February - 2 March 2025,8 November 2024,"LNCS, 14 pages",https://tcsuestc.com/walcom2025,International Conference and Workshops on Algorithms and Computation
Conference,"City, Country",Deadline,Date,Notification,Submission format and comments
